# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_InteriorMode.layout	clear	Button
Kenshi_InteriorMode.layout	clearnodes	Button
Kenshi_InteriorMode.layout	intlistwin	Widget
Kenshi_InteriorMode.layout	intnamebox	EditBox
Kenshi_InteriorMode.layout	intsave	Button
Kenshi_InteriorMode.layout	intlistbox	ListBox
Kenshi_InteriorMode.layout	titlelabel	TextBox
Kenshi_InteriorMode.layout	centerbutton	Button
Kenshi_InteriorMode.layout	intdel	Button
Kenshi_InteriorMode.layout	lbInterior	TextBox
Kenshi_InteriorMode.layout	extlistwin	Widget
Kenshi_InteriorMode.layout	extlistbox	ListBox
Kenshi_InteriorMode.layout	extnamebox	EditBox
Kenshi_InteriorMode.layout	extsave	Button
Kenshi_InteriorMode.layout	extdel	Button
Kenshi_InteriorMode.layout	lbExterior	TextBox
Kenshi_InventoryAnimalWindow.layout	Root	Window
Kenshi_InventoryAnimalWindow.layout	OpenBagButton	Button
Kenshi_InventoryAnimalWindow.layout	backpack_attach	Widget
Kenshi_InventoryAnimalWindow.layout	lbBackpack	TextBox
Kenshi_InventoryAnimalWindow.layout	main	Widget
Kenshi_InventoryAnimalWindow.layout	datapanel	Widget
Kenshi_InventoryAnimalWindow.layout	MainSectionName	TextBox
Kenshi_InventoryCharacterWindow.layout	Root	Window
Kenshi_InventoryCharacterWindow.layout	OpenBagButton	Button
Kenshi_InventoryCharacterWindow.layout	backpack_attach	Widget
Kenshi_InventoryCharacterWindow.layout	lbBackpack	TextBox
Kenshi_InventoryCharacterWindow.layout	back	Widget
Kenshi_InventoryCharacterWindow.layout	shirt	Widget
Kenshi_InventoryCharacterWindow.layout	head	Widget
Kenshi_InventoryCharacterWindow.layout	legs	Widget
Kenshi_InventoryCharacterWindow.layout	boots	Widget
Kenshi_InventoryCharacterWindow.layout	armour	Widget
Kenshi_InventoryCharacterWindow.layout	main	Widget
Kenshi_InventoryCharacterWindow.layout	datapanel	Widget
Kenshi_InventoryCharacterWindow.layout	ArrangeButton	Button
Kenshi_InventoryCharacterWindow.layout	InventoryMainTitle	TextBox
Kenshi_InventoryCharacterWindow.layout	lbWeapon1	TextBox
Kenshi_InventoryCharacterWindow.layout	lbShirt	TextBox
Kenshi_InventoryCharacterWindow.layout	lbHead	TextBox
Kenshi_InventoryCharacterWindow.layout	lbPants	TextBox
Kenshi_InventoryCharacterWindow.layout	lbArmor	TextBox
Kenshi_InventoryCharacterWindow.layout	lbBoots	TextBox
Kenshi_InventoryCharacterWindow.layout	hip	Widget
Kenshi_InventoryCharacterWindow.layout	lbWeapon2	TextBox
Kenshi_InventoryCharacterWindow.layout	lbBelt	TextBox
Kenshi_InventoryCharacterWindow.layout	belt	Widget
Kenshi_InventoryCharacterWindow.layout	LimbsButton	Button
Kenshi_InventoryGenericFixedWindow.layout	Root	Window
Kenshi_InventoryGenericFixedWindow.layout	Content	Widget
Kenshi_InventoryGenericFixedWindow.layout	backpack_content	Widget
Kenshi_InventoryGenericFixedWindow.layout	ArrangeButton	Button
Kenshi_InventoryGenericWindow.layout	Root	Window
Kenshi_InventoryGenericWindow.layout	Content	Widget
Kenshi_InventoryGenericWindow.layout	backpack_content	Widget
Kenshi_InventoryGenericWindow.layout	ArrangeButton	Button
Kenshi_InventoryGenericWindow.layout	TypeText	TextBox
Kenshi_InventoryGenericWindow.layout	CapacityText	EditBox
Kenshi_InventoryItem.layout	Root	Widget
Kenshi_InventoryItem.layout	Background	Widget
Kenshi_InventoryItem.layout	ItemImage	ImageBox
Kenshi_InventoryItem.layout	QuantityText	TextBox
Kenshi_InventoryItem.layout	ChargeBar	Widget
Kenshi_InventoryResearchWindow.layout	Root	Window
Kenshi_InventoryResearchWindow.layout	Content	Widget
Kenshi_InventoryResearchWindow.layout	backpack_content	Widget
Kenshi_InventoryResearchWindow.layout	ArrangeButton	Button
Kenshi_InventoryResearchWindow.layout	ResearchButton	Button
Kenshi_InventoryTraderWindow.layout	Root	Window
Kenshi_InventoryTraderWindow.layout	Content	Widget
Kenshi_InventoryTraderWindow.layout	ArrangeButton	Button
Kenshi_InventoryTraderWindow.layout	datapanel	Widget
Kenshi_InventoryTraderWindow.layout	backpack_content	Widget
